"dataset_SSAD_methane_by_TS_and_prairie_manure_ratio_pkey","total_solids_pct","prairie_biomass_beef_manure_ratio","daily_methane_mean_ml_per_g_vs","cumulative_methane_mean_ml_per_g_vs","mean_water_activity_aw"
1,15,"Pure Grass",79.2445055555555,1840,0.64
2,15,"10:1",112.473985819444,1606.75,0.626166666666667
3,15,"5:1",103.673897318296,2502.5,0.684833333333333
4,15,"4:1",127.797557142857,2227.5,0.587
5,15,"3:1",186.96223,1925,0.545333333333333
6,15,"2:1",187.941097530864,905.5,0.560555555555556
7,15,"1:1",168.280285777778,NA,0.528111111111111
8,15,"Pure Manure",140.001947555556,213.5,NA
9,25,"Pure Grass",69.2423851851852,1122,0.655222222222222
10,25,"10:1",140.091322111111,1320,0.737555555555555
11,25,"5:1",162.265361111111,1290,0.635666666666667
12,25,"4:1",152.042241851852,769.75,0.726333333333333
13,25,"3:1",220.977973945578,1220,0.627111111111111
14,25,"2:1",156.87304691358,1018,0.547222222222222
15,25,"1:1",141.534877083333,491,0.436
16,25,"Pure Manure",NA,NA,NA
17,35,"Pure Grass",121.591718888889,2159,0.433333333333333
18,35,"10:1",94.5811281481482,475,0.505333333333333
19,35,"5:1",198.189484848485,NA,0.589111111111111
20,35,"4:1",213.639717063492,NA,0.543
21,35,"3:1",205.855298484848,3515,0.509666666666667
22,35,"2:1",164.639485185185,2802.5,0.564333333333333
23,35,"1:1",NA,NA,NA
24,35,"Pure Manure",NA,NA,NA
