"dataset_loading_conditions_pkey","prairie_grass_g","beef_manure_g","sludge_g","prairie_biomass_beef_manure_ratio","total_solids_ppn","initial_NH3"
1,32.2925446202235,0,178.900697196038,"Pure Grass",0.15,275.208905853239
2,32.2925446202235,17.825311942959,185.317809495504,"10:1",0.15,286.009262359478
3,32.2925446202235,35.650623885918,191.734921794969,"5:1",0.15,296.809618865717
4,32.2925446202235,44.5632798573975,194.943477944701,"4:1",0.15,302.209797118836
5,32.2925446202235,59.41770647653,200.291071527589,"3:1",0.15,311.210094207369
6,32.2925446202235,0,94.4234004695336,"Pure Grass",0.25,145.254664388966
7,32.2925446202235,17.825311942959,191.379256198394,"10:1",0.146235081260242,295.333787870758
8,32.2925446202235,35.650623885918,87.8636856745247,"5:1",0.25,137.0210339671
9,32.2925446202235,44.5632798573975,86.2237569757725,"4:1",0.25,134.962626361634
10,32.2925446202235,59.41770647653,83.4905424778521,"3:1",0.25,131.53194701919
11,32.2925446202235,35.650623885918,43.3474416229058,"5:1",0.35,68.540211867693
12,32.2925446202235,44.5632798573975,39.6295908462315,"4:1",0.35,63.2852674656898
13,32.2925446202235,59.41770647653,33.4331728851076,"3:1",0.35,54.5270267956844
14,32.2925446202235,0,58.218844729603,"Pure Grass",0.35,89.5599894757059
15,32.2925446202235,17.825311942959,50.7831431762544,"10:1",0.35,79.0501006716995
16,10.74,32.3206205559147,3.84878784744667,"1.834253942181818:1",0.35,7.60462296961862
17,10.74,32.3206205559147,22.6125512087912,"1.834253942181818:1",0.25,36.4695456071536
18,10.74,64.6412411118293,13.8213424175824,"0.99775351799999989:1",0.25,24.6296404143073
19,10.74,32.3206205559147,66.3946657185951,"1.834253942181818:1",0.15,103.821031761402
20,10.74,64.6412411118293,73.2897314371903,"0.91712697109090902:1",0.15,116.111845522804
21,0,64.6412411118293,13.7901314371903,"0:1",0.15,24.581627522804
